"","location","forecast_date","target_end_date","target_type","model","horizon","quantile_level","prediction","observed"
"53",1100015,2020-10-31,2021-04-30,"log_cases","GAM",6,0.5,0.901726413967453,1.09861228866811
"54",1100015,2020-10-31,2021-04-30,"log_cases","GAM",6,0.9,1.52618634856353,1.09861228866811
"55",1100015,2020-10-31,2021-04-30,"log_cases","GAM",6,0.95,1.71294766934336,1.09861228866811
"56",1100015,2021-04-30,2021-05-31,"log_cases","GAM",1,0.05,-0.815725717548881,1.09861228866811
"57",1100015,2021-04-30,2021-05-31,"log_cases","GAM",1,0.1,-0.644424217940808,1.09861228866811
"58",1100015,2021-04-30,2021-05-31,"log_cases","GAM",1,0.5,0.0561638273859637,1.09861228866811
"59",1100015,2021-04-30,2021-05-31,"log_cases","GAM",1,0.9,0.758030100864281,1.09861228866811
"60",1100015,2021-04-30,2021-05-31,"log_cases","GAM",1,0.95,0.957560848189879,1.09861228866811
"61",1100015,2021-02-28,2021-05-31,"log_cases","GAM",3,0.05,-1.97810844414205,1.09861228866811
"62",1100015,2021-02-28,2021-05-31,"log_cases","GAM",3,0.1,-1.79223379258874,1.09861228866811
"63",1100015,2021-02-28,2021-05-31,"log_cases","GAM",3,0.5,-1.16412499709784,1.09861228866811
"64",1100015,2021-02-28,2021-05-31,"log_cases","GAM",3,0.9,-0.520574098945644,1.09861228866811
"65",1100015,2021-02-28,2021-05-31,"log_cases","GAM",3,0.95,-0.373228461894272,1.09861228866811
"66",1100015,2020-11-30,2021-05-31,"log_cases","GAM",6,0.05,-0.293426878197558,1.09861228866811
"67",1100015,2020-11-30,2021-05-31,"log_cases","GAM",6,0.1,-0.123001278276443,1.09861228866811
"68",1100015,2020-11-30,2021-05-31,"log_cases","GAM",6,0.5,0.548513680624503,1.09861228866811
"69",1100015,2020-11-30,2021-05-31,"log_cases","GAM",6,0.9,1.1797086273189,1.09861228866811
"70",1100015,2020-11-30,2021-05-31,"log_cases","GAM",6,0.95,1.31601700519027,1.09861228866811
"71",1100015,2021-05-31,2021-06-30,"log_cases","GAM",1,0.05,-0.334458275762379,0.693147180559945
"72",1100015,2021-05-31,2021-06-30,"log_cases","GAM",1,0.1,-0.181358708745287,0.693147180559945
"73",1100015,2021-05-31,2021-06-30,"log_cases","GAM",1,0.5,0.465100740559992,0.693147180559945
"74",1100015,2021-05-31,2021-06-30,"log_cases","GAM",1,0.9,1.12429289216226,0.693147180559945
"75",1100015,2021-05-31,2021-06-30,"log_cases","GAM",1,0.95,1.29296644533697,0.693147180559945
"76",1100015,2021-03-31,2021-06-30,"log_cases","GAM",3,0.05,-3.56105896602222,0.693147180559945
"77",1100015,2021-03-31,2021-06-30,"log_cases","GAM",3,0.1,-3.35777406319067,0.693147180559945
"78",1100015,2021-03-31,2021-06-30,"log_cases","GAM",3,0.5,-2.7864334015824,0.693147180559945
"79",1100015,2021-03-31,2021-06-30,"log_cases","GAM",3,0.9,-2.18440258218122,0.693147180559945
"80",1100015,2021-03-31,2021-06-30,"log_cases","GAM",3,0.95,-1.98477074613794,0.693147180559945
"81",1100015,2020-12-31,2021-06-30,"log_cases","GAM",6,0.05,-0.757149876047906,0.693147180559945
"82",1100015,2020-12-31,2021-06-30,"log_cases","GAM",6,0.1,-0.521792086130587,0.693147180559945
"83",1100015,2020-12-31,2021-06-30,"log_cases","GAM",6,0.5,0.100652778413478,0.693147180559945
"84",1100015,2020-12-31,2021-06-30,"log_cases","GAM",6,0.9,0.70469475611694,0.693147180559945
"85",1100015,2020-12-31,2021-06-30,"log_cases","GAM",6,0.95,0.865538212320441,0.693147180559945
"86",1100015,2021-06-30,2021-07-31,"log_cases","GAM",1,0.05,-0.0357170584744433,0.693147180559945
"87",1100015,2021-06-30,2021-07-31,"log_cases","GAM",1,0.1,0.150545574886618,0.693147180559945
"88",1100015,2021-06-30,2021-07-31,"log_cases","GAM",1,0.5,0.747211170234305,0.693147180559945
"89",1100015,2021-06-30,2021-07-31,"log_cases","GAM",1,0.9,1.32871457109044,0.693147180559945
"90",1100015,2021-06-30,2021-07-31,"log_cases","GAM",1,0.95,1.49776337286891,0.693147180559945
"91",1100015,2021-04-30,2021-07-31,"log_cases","GAM",3,0.05,-1.98162869337566,0.693147180559945
"92",1100015,2021-04-30,2021-07-31,"log_cases","GAM",3,0.1,-1.77362891739358,0.693147180559945
"93",1100015,2021-04-30,2021-07-31,"log_cases","GAM",3,0.5,-1.13840228195802,0.693147180559945
"94",1100015,2021-04-30,2021-07-31,"log_cases","GAM",3,0.9,-0.45298786483801,0.693147180559945
"95",1100015,2021-04-30,2021-07-31,"log_cases","GAM",3,0.95,-0.314060681969029,0.693147180559945
"96",1100015,2021-01-31,2021-07-31,"log_cases","GAM",6,0.05,-4.19576137669281,0.693147180559945
"97",1100015,2021-01-31,2021-07-31,"log_cases","GAM",6,0.1,-4.03387984077117,0.693147180559945
"98",1100015,2021-01-31,2021-07-31,"log_cases","GAM",6,0.5,-3.39414282104211,0.693147180559945
"99",1100015,2021-01-31,2021-07-31,"log_cases","GAM",6,0.9,-2.78377014637662,0.693147180559945
"100",1100015,2021-01-31,2021-07-31,"log_cases","GAM",6,0.95,-2.61153356662876,0.693147180559945
"101",1100015,2021-07-31,2021-08-31,"log_cases","GAM",1,0.05,0.0912798178037362,0
"102",1100015,2021-07-31,2021-08-31,"log_cases","GAM",1,0.1,0.245753840630912,0
"103",1100015,2021-07-31,2021-08-31,"log_cases","GAM",1,0.5,0.908259430447522,0
"104",1100015,2021-07-31,2021-08-31,"log_cases","GAM",1,0.9,1.5368057326682,0
"105",1100015,2021-07-31,2021-08-31,"log_cases","GAM",1,0.95,1.70337939410012,0
"106",1100015,2021-05-31,2021-08-31,"log_cases","GAM",3,0.05,-0.826118406867277,0
"107",1100015,2021-05-31,2021-08-31,"log_cases","GAM",3,0.1,-0.641073054633233,0
"108",1100015,2021-05-31,2021-08-31,"log_cases","GAM",3,0.5,0.0215410502668265,0
"109",1100015,2021-05-31,2021-08-31,"log_cases","GAM",3,0.9,0.690706402769174,0
